Bill Id,Long Title,Short Title,Origin_House,Status,SessionID,predicted_class,doc_probs
3942,A bill to make provision for the regulation of artificial intelligence; and for connected purposes.,Artificial Intelligence (Regulation) Bill [HL],Lords,1,39,FailedLords,[-19.49778941  -4.79642286  -5.4738096   -5.30189847]
3741,"A Bill to allow adults who are terminally ill, subject to safeguards, to be assisted to end their own life; and for connected purposes.",Assisted Dying for Terminally Ill Adults Bill [HL],Lords,1,39,FailedLords,[-24.60498674  -7.27638746 -19.72408379 -20.42176759]
3758,A Bill to introduce a minimum period of 56 days after an asylum claim is determined before an asylum claim is considered to be determined for the purposes of ending asylum support; to make provision about the serving of documentation relevant to the ending of asylum support following an asylum determination; and connected purposes.,Asylum Support (Prescribed Period) Bill [HL],Lords,1,39,FailedLords,[-185.96645926  -63.90145107 -338.86788186 -152.25834556]
3734,A Bill to make provision about recapitalisation costs in relation to the special resolution regime under the Banking Act 2009.,Bank Resolution (Recapitalisation) Bill [HL],Lords,1,39,SuccesCommons,[-59.281062   -10.65555513  -6.5711522  -18.24137161]
3910,A bill to make provision about local and school bus services; and for connected purposes.,Bus Services (No. 2) Bill [HL],Lords,1,39,FailedLords,[-58.15147323 -13.87612634 -17.147498   -23.83725747]
3750,A Bill to require the Secretary of State to publish an annual report on complications from abortions in England; and for connected purposes.,Complications from Abortions (Annual Report) Bill [HL],Lords,1,39,FailedCommons,[ -6.73515012 -24.67137267 -18.60169572 -15.99719256]
3767,"A Bill to restrict the use of biocides (substances with antimicrobial properties) in consumer products; add biocides to the list of substances which cosmetic products, personal care products, and treated articles must not contain except subject to restrictions; require the Secretary of State to monitor the impact of biocides in these products on antibiotic resistance; grant the Secretary of State, and require the use of, powers to reduce the use of biocides which cause antibiotic resistance; prohibit marketing that makes misleading claims about products containing biocides compared to soap and water or alcohol based sanitisers; and for connected purposes.",Consumer Products (Control of Biocides) Bill [HL],Lords,1,39,FailedLords,[-314.05806037 -171.71179864 -199.89113869 -195.7962856 ]
3739,A Bill to amend the Crown Estate Act 1961.,Crown Estate Bill [HL],Lords,1,39,FailedCommons,[0. 0. 0. 0.]
3762,A Bill to transfer responsibility for the Crown Estate in Wales to the Welsh Government; and for connected purposes.,Crown Estate (Wales) Bill [HL],Lords,1,39,FailedLords,[-8.67023488 -1.11126317 -2.84627974 -2.04410476]
3825,"A bill to make provision about access to customer data and business data; to make provision about services consisting of the use of information to ascertain and verify facts about individuals; to make provision about the recording and sharing, and keeping of registers, of information relating to apparatus in streets; to make provision about the keeping and maintenance of registers of births and deaths; to make provision for the regulation of the processing of information relating to identified or identifiable living individuals; to make provision about privacy and electronic communications; to establish the Information Commission; to make provision about information standards for health and social care; to make provision about the grant of smart meter communication licences; to make provision about the disclosure of information to improve public service delivery; to make provision about the retention of information by providers of internet services in connection with investigations into child deaths; to make provision about providing information for purposes related to the carrying out of independent research into online safety matters; to make provision about the retention of biometric data; to make provision about services for the provision of electronic signatures, electronic seals and other trust services; to make provision about the creation and solicitation of purported intimate images and for connected purposes.",Data (Use and Access) Bill [HL],Lords,1,39,FailedLords,[-554.74958478 -459.95289057 -470.43637995 -461.24400245]
3769,A Bill to amend the School Standards and Framework Act 1998 to make provision regarding assemblies at state schools without a designated religious character in England; to repeal the requirement for those schools to hold collective worship; and for connected purposes.,Education (Assemblies) Bill [HL],Lords,1,39,FailedLords,[-186.0569937   -37.54378346  -78.31015798  -58.20388963]
3746,A Bill to make provision about statements related to values of British citizenship in education in England and Wales; and for connected purposes.,Education (Values of British Citizenship) Bill [HL],Lords,1,39,SuccessLords,[-35.22198086 -10.00939411 -20.5787115   -3.31035877]
3749,A Bill to make provision for a statutory objective requiring public bodies to contribute to delivery of targets set under the Environment Act 2021 and Climate Change Act 2008; to place a duty on public bodies to meet this objective in the exercise of their functions; and for connected purposes.,Environmental Targets (Public Authorities) Bill [HL],Lords,1,39,FailedLords,[-165.56494851  -86.40030725 -104.56195722 -104.61074449]
3832,A bill to establish the Independent Football Regulator; to make provision for the licensing of football clubs; to make provision about the distribution of revenue received by organisers of football competitions; and for connected purposes.,Football Governance Bill [HL],Lords,1,39,FailedLords,[-30.29517213 -24.99275215 -44.35215122 -38.29064062]
3894,A Bill to make new provision for the regulation and management of the General Cemetery Company upon its registration under the Companies Act 2006; to permit the transfer of the ownership and management of Kensal Green Cemetery and West London Crematorium to a charity; and to confer powers upon the General Cemetery Company to extinguish rights of burial and disturb human remains in Kensal Green Cemetery for the purpose of increasing the space for interments; and for connected purposes.,General Cemetery Bill [HL],Lords,1,39,SuccessLords,[ -97.38730793  -94.18196871 -114.75561397  -43.56895357]
3899,"Establish a close season, from the start of February to the end of September, during which the killing or taking of hares is prohibited; repeal the seasonal prohibition of the sale of hares in the Hares Preservation Act 1892; and for connected purposes.",Hares (Close Season) Bill [HL],Lords,1,39,FailedLords,[-36.01501795 -12.41900735 -32.00696213 -33.11258527]
3756,A bill to require parents who choose to home-educate their children to register with the local authority; to make provision about the maintenance of registers by local authorities of children in their area who are not full-time pupils at any school; to make provision about support by local authorities to promote the education and safeguarding of such children; and for connected purposes.,Home School Education Registration and Support Bill [HL],Lords,1,39,FailedLords,[-168.89998436  -80.99314265 -162.676918   -124.76433549]
3770,A Bill to make provision for the appointment of a Commission to advise the Prime Minister on recommendations to the Crown for the creation of life peerages; to establish principles to be followed in making recommendations; and for connected purposes.,House of Lords (Peerage Nominations) Bill [HL],Lords,1,39,FailedLords,[-102.00914046   -8.5059191   -52.26901516  -54.46507967]
3753,"A Bill to make provision for a resentencing exercise in relation to all Imprisonment for Public Protection (IPP) sentenced individuals; to establish a time-limited expert committee, including a member of the judiciary, to advise on the practical implementation of such an exercise; and for connected purposes.",Imprisonment for Public Protection (Re-sentencing) Bill [HL],Lords,1,39,SuccessLords,[-46.67803719 -18.12004511 -27.00854107 -16.99293529]
3772,"A bill to transfer the functions of the Institute for Apprenticeships and Technical Education, and its property, rights and liabilities, to the Secretary of State; to abolish the Institute; and to make amendments relating to the transferred functions.",Institute for Apprenticeships and Technical Education (Transfer of Functions etc) Bill [HL],Lords,1,39,FailedLords,[-31.94382075  -5.73857876  -9.25595911  -7.41342392]
3757,A Bill to make provision about listed investment companies; the classification and characteristics of those companies; and for connected purposes.,Listed Investment Companies (Classification etc) Bill [HL],Lords,1,39,SuccesCommons,[-45.95329425 -33.68019839 -32.18049213 -36.94344456]
3742,"A Bill to make provision regarding the safe storage, use and disposal of lithium-ion batteries; and for connected purposes.",Lithium-ion Battery Safety Bill [HL],Lords,1,39,FailedCommons,[-27.72453943 -35.13728405 -41.66910147 -37.76425769]
3897,"A Bill to repeal and re-enact certain enactments relating to the Malvern Hills Conservators and 
the management of the Malvern Hills, to reconstitute and rename those Conservators 
as the Malvern Hills Trust and to confer further powers on the Malvern Hills Trust, to 
make further provision in relation to the Malvern Hills, and for other purposes.",Malvern Hills Bill [HL],Lords,1,39,SuccesCommons,[-18.41873577 -15.45921966  -0.77058621  -7.04814634]
3745,A Bill to regulate and limit the practice of bottom trawling in marine protected areas; and for connected purposes.,Marine Protected Areas (Bottom Trawling) Bill [HL],Lords,1,39,FailedLords,[-42.52449763 -18.3825444  -22.07785986 -22.41591036]
3884,A Bill to make provision to amend the Mental Health Act 1983 in relation to mentally disordered persons; and for connected purposes.,Mental Health Bill [HL],Lords,1,39,SuccessLords,[-16.56746442 -16.11784829 -10.86451678 -10.14622132]
3928,"A Bill to make provision for establishing a new government Ministry, the Ministry for Poverty Prevention; to make provision for the objectives and powers of that Ministry; to make provision that the Ministry can only be abolished or combined with another department by an Act of Parliament; to make provision for reporting requirements on the Ministry’s work; to make provision for a power to create binding poverty reduction targets; to make provision for a reporting system for all government spending in relation to poverty; and for connected purposes.",Ministry for Poverty Prevention Bill [HL],Lords,1,39,SuccessLords,[-349.90700941 -116.51951499 -184.03539561 -105.4036719 ]
3768,"A Bill to establish an inquiry into the events surrounding the creation of mortgage prisoners, their consequences and any other relevant matters; and for connected purposes.",Mortgage Prisoners Inquiry Bill [HL],Lords,1,39,FailedLords,[-57.63350112 -17.33744286 -38.78619466 -36.72214019]
3759,"A Bill to create offences relating to the taking of a non-consensual sexually explicit photograph or film; and the creation of, or solicitation to create, a non-consensual digitally produced sexually explicit photograph or film; and for connected purposes.",Non-Consensual Sexually Explicit Images and Videos (Offences) Bill [HL],Lords,1,39,FailedLords,[-15.95681021  -6.9596996   -9.72180737 -10.33837552]
