id,predicted_class,doc_probs
1942,FailedCommons,[8.19860826e-01 1.79888820e-01 6.26679525e-12 2.50353826e-04]
2910,FailedCommons,[9.99998066e-01 1.60808482e-06 2.85905507e-17 3.25600955e-07]
3279,FailedCommons,[9.99998911e-01 1.08318377e-06 1.33711275e-19 6.09456173e-09]
1271,FailedCommons,[9.99922145e-01 2.41958700e-06 6.17403005e-18 7.54350727e-05]
2747,FailedCommons,[9.86926242e-01 4.91185836e-09 1.30152376e-14 1.30737531e-02]
915,FailedCommons,[9.63427035e-01 2.52274085e-02 2.73550292e-07 1.13452834e-02]
3580,FailedCommons,[9.99990933e-01 8.91814515e-07 2.79065931e-14 8.17493820e-06]
3030,FailedCommons,[9.99498339e-01 3.71169156e-04 2.97594871e-17 1.30491553e-04]
2961,FailedCommons,[9.95855465e-01 1.74960018e-03 3.98163543e-11 2.39493458e-03]
2072,FailedLords,[2.83990620e-13 1.00000000e+00 5.20159194e-28 1.43329767e-13]
1203,FailedCommons,[9.99999981e-01 1.90385764e-08 9.45071490e-29 2.96980506e-17]
3273,FailedCommons,[8.17637112e-01 1.26304476e-01 1.30673483e-12 5.60584114e-02]
236,FailedCommons,[1.00000000e+00 2.73188733e-11 1.15456980e-26 1.65871483e-13]
1533,FailedCommons,[1.00000000e+00 5.46536560e-11 8.14447611e-21 3.00816516e-15]
2066,FailedCommons,[9.47082633e-01 1.03351362e-08 3.01397185e-19 5.29173565e-02]
634,FailedCommons,[8.65420416e-01 2.38657624e-02 5.92934847e-08 1.10713763e-01]
878,FailedCommons,[9.99999757e-01 2.42480837e-07 8.41514361e-19 2.91425672e-10]
266,FailedCommons,[1.00000000e+00 1.02664366e-14 2.37305206e-31 1.41704765e-23]
2794,FailedCommons,[9.90265032e-01 6.24949911e-03 1.91526481e-06 3.48355340e-03]
301,FailedCommons,[9.99988836e-01 1.00698057e-05 2.15130148e-20 1.09388897e-06]
757,FailedCommons,[9.99992541e-01 1.84911461e-08 7.15087535e-18 7.44081672e-06]
2962,FailedLords,[3.89810017e-01 6.08172722e-01 2.34560397e-09 2.01725827e-03]
2067,SuccessLords,[2.09837791e-02 1.20113082e-05 2.93809064e-22 9.79004210e-01]
2155,FailedCommons,[8.19860826e-01 1.79888820e-01 6.26679525e-12 2.50353826e-04]
2631,FailedCommons,[1.00000000e+00 2.32838688e-14 4.13609499e-26 2.65074558e-12]
