id,predicted_class,doc_probs
2391,FailedCommons,[-57.20732577 -62.83753552 -75.70748954 -67.39544747]
3307,SuccesCommons,[ -99.01647248 -103.59576189  -35.53904881 -108.48615724]
218,SuccessLords,[-67.58100949 -57.17276284 -48.43384732 -42.32915215]
2739,SuccessLords,[-89.7576416  -83.57664058 -86.48078556 -67.79856475]
358,SuccessLords,[-78.00401796 -84.99747317 -85.32422891 -77.4249783 ]
1038,SuccessLords,[-63.82923318 -67.53121081 -73.7843143  -54.80745195]
2740,SuccessLords,[-58.33383629 -69.43950895 -64.46628185 -50.89543998]
2593,SuccesCommons,[-68.61717991 -80.54252167 -66.9327003  -67.51719554]
230,SuccessLords,[-13.12996965 -13.68806088 -16.57784721 -10.52933407]
3035,SuccessLords,[-113.58570805 -109.32412822 -119.82998269 -101.69626482]
1204,SuccessLords,[-39.74126333 -44.63368572 -54.9130632  -30.43097683]
636,SuccesCommons,[-83.96230631 -79.70885416 -58.31730739 -76.12100263]
1180,FailedCommons,[-46.62220107 -53.2391279  -68.02107757 -56.56293337]
1357,FailedCommons,[ -92.71183982  -98.21137316 -118.43708426  -94.78646748]
1028,SuccessLords,[-77.83595036 -80.85877557 -98.47636288 -71.76599002]
932,SuccessLords,[-79.44343204 -72.02178892 -75.5631615  -67.7675663 ]
1415,SuccessLords,[-59.5698513  -66.78074954 -82.42274239 -57.89402457]
2551,FailedCommons,[-130.90228435 -149.47732572 -147.04776661 -152.82365784]
1411,SuccessLords,[-127.16682666 -108.68094734 -122.51881123  -81.45174785]
2174,SuccesCommons,[-316.72897666 -321.34017601 -137.1648921  -323.25751913]
2709,FailedCommons,[-116.20382321 -119.8837381  -120.0892706  -118.00465396]
1089,SuccessLords,[ -84.70571272  -81.71130307 -103.40648509  -74.36767809]
2435,SuccesCommons,[-112.18946557 -117.37408346  -36.96505724 -122.46112844]
1037,FailedCommons,[-68.99987763 -74.23917318 -77.28194583 -70.66620903]
2792,FailedLords,[-151.84337383 -141.90115647 -153.36728148 -144.08062892]
1922,SuccessLords,[-38.26668326 -28.67149026 -41.36979632 -28.21642309]
501,SuccesCommons,[-211.64023778 -211.64125005  -92.12250971 -219.40228296]
534,SuccessLords,[-54.13060926 -61.09478488 -64.32072343 -51.17291448]
121,SuccessLords,[-64.53163998 -57.9713583  -70.99033867 -53.67152497]
1084,SuccesCommons,[-428.45001271 -468.92570445 -402.60164944 -491.23776041]
386,SuccessLords,[-74.06071098 -71.13055477 -82.0800623  -65.170395  ]
2817,FailedCommons,[-71.07296833 -84.36320415 -93.14378533 -75.94041632]
2735,SuccesCommons,[-50.36788    -49.48117929 -40.48187802 -60.56253968]
221,SuccesCommons,[-117.10284609 -114.89401304  -53.81688399 -103.19273564]
3396,SuccessLords,[-371.5914357  -350.53086293 -349.97074888 -321.8857002 ]
1534,FailedLords,[-71.36166637 -69.92506387 -78.90853381 -70.15486024]
405,SuccessLords,[-44.16801348 -47.64398405 -60.56617533 -43.18991031]
3484,SuccesCommons,[ -96.1828209   -99.98016975  -35.9522136  -104.74033318]
1031,SuccessLords,[-67.44696133 -70.95687082 -86.33665702 -64.40132989]
836,SuccesCommons,[-220.38291734 -220.81413667  -98.47860275 -230.5529944 ]
3137,SuccessLords,[-213.27974318 -208.20517899 -205.65644662 -163.48811472]
1337,SuccessLords,[-79.4578146  -78.49801649 -77.3629641  -71.46191364]
1045,FailedLords,[-60.39722392 -49.67515615 -66.68324928 -50.23131817]
1126,SuccessLords,[ -97.04495387  -94.11756056 -111.78270397  -93.72813647]
2045,FailedCommons,[-152.69094823 -199.12025345 -179.5800053  -191.21655358]
2153,SuccesCommons,[-101.72302205  -97.67402731  -68.65225858  -93.17427878]
454,SuccessLords,[-70.01836409 -66.63467103 -83.83289618 -63.03405559]
797,SuccessLords,[-198.61377928 -167.51158999 -185.04629556 -152.47714942]
3237,FailedCommons,[-83.86492909 -96.4465313  -90.80823756 -88.78238756]
218,SuccessLords,[-67.58100949 -57.17276284 -48.43384732 -42.32915215]
140,FailedCommons,[-41.61644712 -69.78265604 -45.96093019 -56.02924007]
1420,SuccessLords,[-113.72909884 -134.72390461 -166.30499611  -99.419735  ]
1343,SuccessLords,[-74.17222974 -75.81880491 -78.02785415 -57.14200974]
2814,SuccessLords,[-54.90874917 -57.16506019 -69.20459294 -50.86941162]
2909,SuccessLords,[-59.6988224  -60.29598028 -69.86316821 -53.51748571]
1522,SuccessLords,[-81.78375986 -80.86850374 -98.92912419 -73.270606  ]
2267,FailedLords,[-47.64200196 -44.26958601 -62.50897414 -44.96992378]
1033,FailedLords,[-50.49403693 -45.18163588 -68.71968253 -54.8074911 ]
2229,SuccessLords,[-53.19089086 -53.75032699 -74.07838189 -46.81374097]
214,SuccessLords,[-59.4202574  -58.53403706 -59.92405048 -49.58671576]
1571,SuccessLords,[-65.477266   -73.72270182 -82.65025913 -48.04791694]
212,SuccessLords,[-88.45250604 -64.4836713  -53.91900574 -38.08673335]
1858,SuccesCommons,[-134.55990997 -140.98202986  -46.96511562 -146.3724196 ]
2163,SuccessLords,[ -94.12558681 -108.57640287 -100.7065954   -61.61293536]
758,SuccessLords,[-67.63624155 -61.82604056 -67.73538089 -55.44516292]
3021,SuccessLords,[ -98.04591921 -100.69828231  -96.62639328  -91.3819968 ]
2806,SuccessLords,[-123.39692939 -117.54030402 -117.00117415  -98.33548848]
1313,FailedCommons,[-61.77676216 -96.85492758 -86.58786455 -67.17490396]
2046,FailedCommons,[ -82.48532728 -123.82239616 -114.57645409  -86.26728551]
2907,FailedLords,[-78.03660091 -62.43016354 -81.56085404 -63.24119762]
1749,SuccessLords,[-49.17476958 -43.31815115 -42.11565593 -34.06095532]
3431,SuccesCommons,[-89.92182246 -94.41273586 -33.22644488 -98.61806822]
821,SuccessLords,[-63.96723297 -60.07473665 -70.12922012 -54.07962814]
2904,SuccessLords,[ -81.97825111  -95.6272788  -118.74133579  -80.14493364]
1721,SuccessLords,[-71.9002332  -71.04374036 -74.5201744  -53.95350443]
2714,SuccessLords,[-113.01951963 -103.43147764 -129.62231582  -98.85668455]
761,SuccesCommons,[-82.28145037 -77.7561691  -63.4481456  -73.79200133]
207,SuccessLords,[-103.67124726 -105.2781821   -92.51924405  -83.14442983]
3443,SuccessLords,[ -89.32792181  -88.99987318 -101.22947365  -84.22296638]
1153,SuccessLords,[ -93.28355978  -86.99517284 -105.89636701  -79.46825985]
1502,SuccesCommons,[-158.52816845 -143.3969863   -97.38122304 -141.70106015]
336,SuccessLords,[-80.14884422 -77.71249597 -92.57946565 -70.17300959]
3210,SuccessLords,[-57.3245529  -52.86293929 -68.97790255 -51.84589591]
2729,SuccessLords,[-119.73270074 -115.63144344 -129.81593577 -113.13272005]
2862,SuccessLords,[-72.58253273 -75.27950933 -64.55600504 -50.2828116 ]
3353,SuccesCommons,[-71.33402072 -72.04320047 -26.45898538 -74.24855046]
219,SuccessLords,[-74.27049679 -62.94692527 -57.24397958 -46.72891175]
808,SuccessLords,[-103.65403547 -111.01100647 -118.92139925  -84.61255775]
3422,SuccessLords,[-19.77482517 -18.94727507 -31.03816905 -18.40612066]
303,SuccesCommons,[-73.13636454 -71.34796573 -53.58483455 -67.83534048]
2861,SuccessLords,[-87.64074844 -83.37446113 -88.98675315 -81.1808901 ]
2841,SuccesCommons,[ -98.63275576 -103.67477865  -33.90634558 -108.29493709]
252,FailedCommons,[-114.40738095 -144.14943209 -140.1004099  -122.10667823]
189,SuccessLords,[-66.23200112 -66.1907187  -76.47146728 -54.33822518]
2822,SuccessLords,[-162.25297659 -151.28870214 -131.41976904 -121.56827501]
137,SuccessLords,[-67.3124695  -63.34392084 -71.52303213 -59.23392582]
327,FailedCommons,[ -80.37974817  -81.33796896 -102.05726618  -81.51736793]
3191,SuccessLords,[-44.79242945 -49.51406041 -48.67003368 -44.69202856]
196,SuccessLords,[-58.29823534 -63.60712752 -66.64286106 -56.25179243]
2762,SuccesCommons,[-101.97011844 -107.84654462  -77.62788381  -98.8291035 ]
2895,FailedLords,[-29.76216822 -23.78257331 -39.72371577 -30.92216107]
2228,SuccesCommons,[-340.82597568 -345.40958599 -140.59679505 -350.74904373]
207,SuccessLords,[-103.67124726 -105.2781821   -92.51924405  -83.14442983]
2775,SuccessLords,[-132.57107866 -127.8401977  -116.41806038 -107.60243607]
2520,FailedCommons,[-109.83732899 -118.19420791 -116.72660808 -110.01794296]
2242,SuccessLords,[-145.09252811 -161.66600676 -165.27793678 -127.49577319]
1432,SuccesCommons,[-159.32699683 -157.97630011 -102.98441012 -160.45717687]
1908,SuccessLords,[ -94.67065403  -96.94969626 -101.47018014  -74.86610837]
2059,FailedLords,[-77.08876317 -74.52420184 -93.16313335 -75.50172747]
877,SuccessLords,[-65.8313119  -58.1971326  -68.64337003 -57.28397499]
625,SuccesCommons,[-223.50365964 -227.17222898  -98.86785711 -238.56862363]
1298,FailedLords,[-105.02465309  -92.60151715 -118.10319845 -100.89249039]
754,SuccessLords,[-113.9109488  -119.49195173 -143.00117767  -95.89691599]
1711,FailedCommons,[-43.75287919 -46.57143006 -57.80213036 -50.07645807]
140,FailedCommons,[-41.61644712 -69.78265604 -45.96093019 -56.02924007]
2226,FailedCommons,[-23.80105664 -28.96425985 -38.42684684 -26.19582994]
686,SuccessLords,[ -85.13741439  -87.22097744 -114.39597218  -76.77318309]
2806,SuccessLords,[-123.39692939 -117.54030402 -117.00117415  -98.33548848]
1739,SuccessLords,[-64.71451277 -64.4148752  -77.55222571 -57.0002272 ]
2214,SuccesCommons,[-119.09009856 -125.60426735  -41.26715804 -129.71515325]
955,SuccessLords,[-73.33544161 -86.0010314  -86.50667352 -72.34088133]
669,SuccesCommons,[-87.76956045 -83.29496118 -73.10859417 -75.72315581]
1413,FailedCommons,[-33.79723758 -33.91983564 -44.39342315 -34.39751985]
2708,SuccesCommons,[-103.39709052 -108.51289899  -34.88384414 -113.53637774]
1429,FailedCommons,[-60.47424624 -70.3949756  -96.19043659 -66.44834122]
1928,SuccessLords,[-90.43804802 -95.78932186 -88.96025622 -82.16050496]
2616,FailedCommons,[-39.52204112 -44.47691561 -54.30868428 -41.44758275]
2359,SuccessLords,[-76.27171119 -71.51610992 -73.78623342 -70.24871399]
1699,SuccessLords,[-83.3384599  -82.67325114 -88.85460803 -68.73692598]
1685,SuccessLords,[-117.97035311 -115.30248505 -131.49657768 -103.99913989]
2615,FailedLords,[-61.12597706 -54.2778253  -80.70387936 -61.74485971]
212,SuccessLords,[-88.45250604 -64.4836713  -53.91900574 -38.08673335]
2234,SuccessLords,[-11.43624034 -13.33332649 -11.61604808  -9.59184502]
2399,SuccessLords,[-143.81226119 -141.97536012 -169.01263886 -119.07630001]
1745,FailedLords,[ -93.28713601  -83.64500388 -108.66404404  -95.31977747]
1751,SuccesCommons,[-117.50884927 -124.16279745  -43.03662407 -127.86663141]
2753,SuccessLords,[-186.07114628 -190.32198181 -163.83450436 -139.24073048]
512,FailedLords,[-54.7970306  -50.07131399 -65.20233897 -52.18573455]
567,SuccessLords,[-68.22144464 -65.9939197  -77.76820527 -55.60072946]
2522,FailedCommons,[-61.74112034 -65.83073121 -69.09588491 -62.0126215 ]
1105,SuccessLords,[-57.39725284 -55.42034745 -72.87659847 -52.96750481]
535,SuccesCommons,[-88.96498061 -83.95409739 -55.88829841 -80.06646649]
212,SuccessLords,[-88.45250604 -64.4836713  -53.91900574 -38.08673335]
873,SuccessLords,[-112.14435559 -103.84027061 -116.99965468  -96.40730911]
455,SuccesCommons,[-223.82616371 -226.63587141  -98.57971978 -238.02124842]
922,SuccessLords,[ -96.52919297 -105.02757617 -105.79875783  -74.67059223]
104,SuccessLords,[ -88.97448641  -98.61871482 -109.01910716  -76.87385918]
377,SuccessLords,[-84.06848891 -84.39795501 -92.68643775 -83.37077551]
1139,SuccessLords,[-23.94308369 -21.91812876 -22.64499738 -19.31671217]
3120,SuccessLords,[-125.39109773 -131.07951701 -128.09840575  -99.68000083]
1889,SuccessLords,[ -92.40834612 -110.91966563 -128.08423369  -80.58164694]
2305,SuccessLords,[ -95.57201875 -110.80651574 -127.28517226  -79.00306979]
568,FailedCommons,[-64.46266496 -68.16194425 -80.52806571 -67.44614372]
1313,FailedCommons,[-61.77676216 -96.85492758 -86.58786455 -67.17490396]
1178,SuccessLords,[-85.0737656  -84.54464946 -98.06695682 -70.02873712]
3069,SuccesCommons,[-73.06776593 -70.09982288 -69.45418461 -72.37235488]
2760,SuccesCommons,[-106.70744133 -112.1132498   -36.26127512 -116.78566738]
2835,SuccesCommons,[-94.29627033 -91.32250458 -70.3594904  -85.27867957]
1140,SuccessLords,[-100.71876516 -100.73136457 -104.31333069  -90.33391922]
3069,SuccesCommons,[-73.06776593 -70.09982288 -69.45418461 -72.37235488]
748,SuccessLords,[-101.66057175 -119.11976248 -121.73135726  -92.08931988]
853,SuccesCommons,[-99.32233481 -94.80935524 -71.75334621 -91.38769952]
140,FailedCommons,[-41.61644712 -69.78265604 -45.96093019 -56.02924007]
2160,SuccessLords,[-112.70778974 -118.25200923 -127.96325862  -92.58188611]
2437,SuccessLords,[-72.84318227 -69.51642113 -89.06146198 -63.63025254]
2394,FailedCommons,[-52.77500507 -76.85825092 -92.38209431 -72.43692003]
565,FailedLords,[-82.77766436 -77.99629459 -93.75809782 -79.68569996]
1849,FailedLords,[-40.29963535 -40.01186444 -48.40046688 -42.11724256]
1135,SuccessLords,[-83.33859066 -78.39557956 -86.86989889 -71.73729241]
3340,SuccessLords,[-107.03291918 -105.169951   -112.72687838  -91.5721789 ]
641,SuccesCommons,[-120.51529685 -121.65865188  -54.66614159 -128.37081543]
2738,FailedLords,[-102.89923724  -93.33095151 -112.64796896  -96.88293157]
2527,FailedCommons,[-116.34267529 -128.37102678 -147.67909532 -123.87522479]
3020,SuccessLords,[-184.977894   -193.1895717  -180.31149587 -148.32641315]
291,SuccesCommons,[-242.61911252 -245.09008705 -114.9903277  -253.71748785]
2064,FailedCommons,[-69.59966837 -78.68744699 -86.67376615 -70.27788514]
983,SuccessLords,[-120.95923114 -112.44778602 -116.3713045   -80.64989827]
215,SuccessLords,[-90.86342599 -66.04979082 -57.42035658 -40.65987567]
1850,FailedCommons,[-10.84567522 -12.95385577 -22.97631302 -13.49793542]
1042,SuccessLords,[-69.24458483 -68.09739007 -81.10877081 -51.19702762]
372,SuccessLords,[-39.97809827 -39.02093094 -34.28896987 -28.25629807]
2389,SuccesCommons,[-73.99283314 -69.31863279 -53.96312289 -67.97352597]
541,SuccessLords,[-59.57033909 -53.49912401 -69.89973749 -53.45452964]
2250,FailedCommons,[-47.50344243 -50.59539669 -63.42149614 -52.73476469]
1090,SuccessLords,[-225.54311444 -205.48924365 -197.49367661 -179.45389963]
865,SuccessLords,[-74.22371127 -75.16348452 -77.18888048 -55.75284826]
1988,SuccessLords,[-63.15275715 -62.60848244 -90.43424544 -61.73042076]
680,SuccessLords,[-59.44273039 -61.91952888 -77.04403746 -57.61275129]
2251,SuccessLords,[-120.73696654 -144.40765976 -126.61248317  -86.87969183]
1473,SuccessLords,[ -97.42703138  -98.43486736 -119.74286286  -91.92997809]
1360,SuccesCommons,[-99.69185708 -94.67487318 -68.93093308 -90.26626035]
