id,predicted_class,doc_probs
563,SuccessLords,[ -95.08111375  -89.5882159  -105.48137002  -45.50247491]
2518,SuccessLords,[-115.93634429 -116.31506568 -135.82652385  -45.5878064 ]
1170,SuccessLords,[ -97.90528324 -101.92428141 -117.97790401  -61.38143309]
2707,SuccessLords,[ -82.25302857  -85.61434598 -116.19913342  -67.93392423]
2523,SuccessLords,[ -86.0421217   -59.44179048 -105.68092815  -57.03996179]
3032,SuccessLords,[-148.56751614 -139.73360283 -161.05957723  -82.94239659]
2392,SuccessLords,[ -87.48847651  -92.20213676 -105.33420352  -78.39231368]
805,SuccessLords,[-110.64010972 -117.14434897 -132.35306709  -71.75219545]
1722,SuccessLords,[-78.54960211 -73.35572529 -84.63730697 -41.58139686]
360,SuccessLords,[ -77.1207657   -85.64190241 -107.27891766  -44.84273066]
974,SuccessLords,[-68.10117719 -65.546718   -88.00522748 -47.29917207]
187,SuccessLords,[-32.21834734 -33.84410836 -47.05798596 -23.90372814]
1166,SuccessLords,[ -91.79252817  -90.92803644 -113.25149465  -69.55070067]
799,SuccessLords,[-116.17406633  -98.91913501 -127.14752421  -46.75315939]
395,SuccessLords,[ -87.75859693  -92.80662279 -112.89450529  -54.14109553]
1722,SuccessLords,[-78.54960211 -73.35572529 -84.63730697 -41.58139686]
798,SuccessLords,[-87.53497066 -68.41719853 -90.20963593 -33.46335045]
962,SuccessLords,[-78.9487643  -68.94356138 -78.02265793 -47.62979213]
2252,SuccessLords,[-48.05985732 -54.61863731 -81.42495486 -39.64042448]
191,SuccessLords,[ -94.89805604  -89.43960321 -119.9788929   -45.56021659]
986,SuccessLords,[-47.45902584 -44.9163835  -73.99863857 -40.80475253]
862,SuccessLords,[-85.95406621 -80.63855872 -93.5511353  -53.91968445]
209,SuccessLords,[-142.73180025 -113.8255333  -119.27837566  -39.82973031]
2192,FailedCommons,[-66.40418641 -91.88039525 -99.30200725 -81.38276277]
987,SuccessLords,[-69.09526317 -61.91442377 -74.81809415 -47.64783494]
2002,SuccessLords,[-49.35160469 -49.41926387 -72.30897782 -39.08662022]
192,SuccessLords,[ -83.02321271  -84.41850039 -114.63273636  -54.41713708]
799,SuccessLords,[-116.17406633  -98.91913501 -127.14752421  -46.75315939]
544,SuccessLords,[ -92.22028705  -87.60588521 -122.49713944  -62.22708782]
1111,SuccessLords,[-81.25226401 -74.89891162 -98.51238069 -39.98164056]
2518,SuccessLords,[-115.93634429 -116.31506568 -135.82652385  -45.5878064 ]
2273,SuccessLords,[ -92.18369073  -95.72742064 -113.78927749  -71.07107452]
216,SuccessLords,[ -90.84785741  -91.41063302 -111.01236233  -36.70547398]
183,SuccessLords,[-114.09145951 -116.72015695 -145.71205741  -63.44456695]
1776,SuccessLords,[-68.09833569 -64.11769335 -82.85315131 -40.39759277]
3045,SuccessLords,[-89.01344737 -89.08065456 -96.56953844 -59.07459634]
195,SuccessLords,[ -82.64175843  -82.60659069 -101.49194879  -63.21846184]
2191,SuccessLords,[-65.71606298 -66.22816454 -87.37760059 -46.75603855]
420,SuccessLords,[-54.4112475  -48.54319076 -77.38346611 -48.12760702]
962,SuccessLords,[-78.9487643  -68.94356138 -78.02265793 -47.62979213]
1165,SuccessLords,[-104.66219563 -103.28736204 -125.97591247  -68.24346287]
798,SuccessLords,[-87.53497066 -68.41719853 -90.20963593 -33.46335045]
554,SuccessLords,[-78.403889   -92.35717529 -99.77245512 -64.29134434]
3157,FailedLords,[-50.18333797 -38.07742578 -63.07080174 -43.74019326]
550,SuccessLords,[-112.49550814 -119.3457851  -154.72651391  -90.46818146]
546,SuccessLords,[-56.36315968 -53.96427813 -69.8629173  -40.57455765]
1483,SuccessLords,[-82.59484406 -79.01095403 -89.48543273 -53.18062815]
1777,SuccessLords,[ -83.99129868  -79.87785535 -104.55845594  -38.40857411]
1016,SuccessLords,[-114.68622596 -108.72971575 -137.27784113  -74.61312858]
2158,SuccessLords,[-192.65872749 -187.5642312  -258.26323295 -185.30795802]
1774,SuccessLords,[-57.42395399 -53.97373368 -77.62686031 -39.74291774]
2231,SuccessLords,[-204.44871976 -190.91088885 -230.59143341 -149.22530771]
2396,SuccessLords,[-27.00275037 -19.77738117 -30.50991789 -12.88279385]
216,SuccessLords,[ -90.84785741  -91.41063302 -111.01236233  -36.70547398]
799,SuccessLords,[-116.17406633  -98.91913501 -127.14752421  -46.75315939]
1775,SuccessLords,[-127.60239595 -156.7940897  -150.60858184  -71.70027451]
783,SuccessLords,[-51.43296933 -49.208204   -68.40618335 -34.27597883]
467,SuccessLords,[-55.35090528 -52.32598662 -68.83751906 -41.05050071]
84,SuccessLords,[-57.19578827 -58.20675669 -74.96422967 -39.10622394]
194,SuccessLords,[-59.19345639 -54.88072983 -81.65991285 -40.531016  ]
1912,SuccessLords,[-165.43342782 -143.0267636  -156.61980624  -80.15944257]
560,SuccessLords,[ -93.14270961  -86.19683771 -106.31581436  -64.1032733 ]
1378,SuccessLords,[ -91.94741333  -88.89512397 -119.89287548  -65.49905402]
1287,SuccessLords,[-87.87044994 -76.89370731 -96.44220615 -60.59084044]
2276,SuccessLords,[-106.71977023  -99.54863865 -109.98241999  -67.16463809]
206,SuccessLords,[-124.3045957   -97.10470228 -100.02908328  -32.35243394]
209,SuccessLords,[-142.73180025 -113.8255333  -119.27837566  -39.82973031]
383,SuccessLords,[ -96.25875712  -96.54438526 -121.60128916  -52.89261927]
1382,FailedCommons,[-45.62030448 -46.11933304 -72.95786552 -56.00531008]
209,SuccessLords,[-142.73180025 -113.8255333  -119.27837566  -39.82973031]
1677,SuccessLords,[-266.7417664  -294.05104056 -314.06536372 -154.72988464]
2866,SuccessLords,[-66.60967838 -58.79090082 -70.99641335 -44.33532541]
205,SuccessLords,[-121.12019787  -79.13895108 -132.65107218  -44.47743318]
206,SuccessLords,[-124.3045957   -97.10470228 -100.02908328  -32.35243394]
1703,SuccessLords,[ -87.79715102  -85.83860891 -101.59767902  -72.2220949 ]
2166,SuccessLords,[-117.80366568 -123.43443294 -147.21325116  -79.48438314]
798,SuccessLords,[-87.53497066 -68.41719853 -90.20963593 -33.46335045]
1168,SuccessLords,[-81.1302079  -71.12941584 -94.30200461 -55.75757484]
1719,SuccessLords,[-151.28369655 -152.36642699 -174.77925339  -47.56374043]
1719,SuccessLords,[-151.28369655 -152.36642699 -174.77925339  -47.56374043]
2864,SuccessLords,[-301.09329448 -285.34252621 -233.73012108 -157.06605621]
1720,SuccessLords,[-145.65867696 -131.17942228 -150.38762863  -72.68163228]
1325,SuccessLords,[-2.41651576 -2.45328673 -2.78059622 -1.2248413 ]
356,SuccessLords,[-175.41873218 -155.13735948 -189.6741213   -93.83996597]
356,SuccessLords,[-175.41873218 -155.13735948 -189.6741213   -93.83996597]
642,SuccessLords,[-61.61257216 -54.14923231 -77.10567356 -44.35378737]
1107,SuccessLords,[ -69.82424494  -71.58023028 -103.29394522  -55.62568432]
