id,predicted_class,doc_probs
2483,FailedLords,[ -89.14977007  -39.46563817 -123.44896105  -98.45514414]
1390,FailedLords,[-60.37075852 -28.23969477 -87.62190604 -72.58033474]
2004,FailedLords,[-51.29994523 -37.57670048 -83.08026066 -58.8507671 ]
2568,FailedLords,[-81.31528512 -64.77336959 -99.81709351 -74.17468981]
2591,FailedLords,[-54.35715204 -51.01998952 -89.48532986 -54.56133273]
3082,FailedLords,[ -98.77181966  -83.11172613 -131.16126279 -123.26763407]
2892,FailedLords,[-54.49673261 -46.27685871 -71.74297369 -58.81904707]
994,FailedLords,[-24.77168998 -19.31267301 -41.56108303 -30.27272985]
3139,FailedLords,[ -80.70944627  -55.62639834 -117.01981893  -97.34825314]
1196,FailedLords,[ -78.05325055  -74.09267355 -126.54128821  -81.76713821]
198,SuccessLords,[ -76.22248872  -70.57397809 -101.13596876  -68.97739394]
621,FailedLords,[-114.16601647  -37.83563422 -134.97134512  -77.29491555]
506,FailedLords,[-103.46767485  -84.47190295 -128.82654357  -96.55987471]
1824,FailedLords,[-110.9190226   -44.44975607 -129.28425463  -98.76798477]
396,FailedLords,[-62.93567821 -53.58410337 -86.73054853 -55.43796506]
277,FailedLords,[-73.41391544 -54.88113479 -98.25223859 -72.29223142]
3513,FailedLords,[-38.22929103 -22.53606834 -45.65880992 -33.67651845]
2598,FailedLords,[-12.47452102  -5.73243694 -17.86915021 -14.70107161]
2026,FailedLords,[-113.7538829   -46.11392592 -132.12177203 -101.13074819]
1588,FailedLords,[-75.62800257 -37.98986619 -93.54054874 -68.952858  ]
368,FailedLords,[-115.86478601  -55.4269773  -138.23922484 -104.89988129]
1192,FailedLords,[ -84.4487142   -61.1319025  -123.70203477  -78.06717894]
2873,FailedLords,[-52.54332475 -39.0574392  -63.35404437 -43.989978  ]
2576,FailedLords,[ -80.1047555   -62.20757176 -115.42288718  -88.98498112]
2552,FailedLords,[-69.26115083 -60.98001759 -94.94930222 -69.44927815]
2055,SuccessLords,[-38.45339804 -42.91296444 -52.64213463 -35.11104008]
2442,FailedLords,[-67.94138344 -50.03805616 -85.58512061 -58.73780883]
2487,FailedLords,[-5.56113083 -4.02839643 -8.17689749 -4.33816305]
2018,FailedLords,[-152.09477028  -67.68125928 -180.09790807 -136.20510957]
1181,FailedLords,[-66.64797329 -46.78375463 -87.50896294 -57.53853599]
1407,SuccessLords,[-26.79927145 -16.72503771 -37.83899548 -12.98479748]
2871,FailedLords,[-37.65597804 -26.90707143 -46.89962189 -34.22177515]
