Bill Id,Long Title,Short Title,Origin_House,Status,SessionID
3785,"A Bill to make provision about absent voting in connection with local government elections in Scotland and Wales, elections to the Scottish Parliament and elections to Senedd Cymru; and for connected purposes.",Absent Voting (Elections in Scotland and Wales) Bill,Commons,1,39
3800,A Bill to require providers of electronic communications networks to grant other such providers access to their apparatus where that is necessary to ensure consistent network coverage; to prevent those providers from charging more than the standard market rate for such access; to require the regulator to impose penalties on providers who unreasonably fail to grant such access; to make provision for the purpose of incentivising providers to allow customers of other providers to use their networks where access cannot be granted to their apparatus; and for connected purposes.,Access to Telecommunications Networks Bill,Commons,1,39
3814,A Bill to prohibit the granting of planning permission in respect of Grade 1 agricultural land; to provide for exemptions from that prohibition in specified circumstances; to place duties on local planning authorities in respect of such land; and for connected purposes.,Agricultural Land (Planning) Bill,Commons,1,39
3790,"A Bill to make provision for and in connection with restricting the importation and non-commercial movement of dogs, cats and ferrets.","Animal Welfare (Import of Dogs, Cats and Ferrets) Bill",Commons,1,39
3798,A Bill to require a person in charge of a dog to take all reasonable steps to ensure that that dog does not fatally injure another dog; and for connected purposes.,Animal Welfare (Responsibility for Dog on Dog Attacks) Bill,Commons,1,39
3811,A Bill to prohibit the use of animals in medical research; to require the use of non-animal methods for conducting medical research; and for connected purposes.,Animals in Medical Research (Prohibition) Bill,Commons,1,39
3858,A Bill to create an offence of disclosing the identity of a person who is the subject of an investigation in respect of the alleged commission of an offence; and for connected purposes.,Anonymity of Suspects Bill,Commons,1,39
3855,A Bill to require the Government to conduct a review of every Arm’s-Length Body in existence on 4 July 2024 and to publish the results of those reviews within four years; and for connected purposes.,Arm’s-Length Bodies (Review) Bill,Commons,1,39
3881,"A Bill to establish, and confer functions on, the Armed Forces Commissioner; to abolish the office of Service Complaints Ombudsman; and for connected purposes.",Armed Forces Commissioner Bill,Commons,1,39
3922,A Bill to make provision for an inquiry into the end use of arms sold to foreign states to determine whether they have been used in violation of international law; to immediately suspend the sale of arms to foreign states where it cannot be demonstrated that arms sold will not be used in violation of international law; and for connected purposes.,Arms Trade (Inquiry and Suspension) Bill,Commons,1,39
3890,A Bill to make provision about the accessibility of air travel for disabled passengers; to make provision about the powers of the Civil Aviation Authority to enforce accessibility requirements; to remove the limit on compensation for damage to wheelchairs or other mobility equipment on domestic flights; and for connected purposes.,Aviation (Accessibility) Bill,Commons,1,39
3848,A Bill to set maximum time limits within which a bailiff’s warrant of possession appointment date must be granted; to make provision for alternative methods of executing warrants of possession; and for connected purposes.,Bailiffs (Warrants of Possession) Bill,Commons,1,39
3844,A Bill to make provision for penalties against the Court of Directors of the Bank of England for failure to meet inflation targets.,Bank of England (Inflation Targets) Bill,Commons,1,39
3806,A Bill to make fire and rescue authorities statutory consultees for planning applications relating to Battery Energy Storage Systems; and for connected purposes.,Battery Energy Storage Systems (Fire Safety) Bill,Commons,1,39
3865,A Bill to de-criminalise the non-payment of the BBC licence fee by persons aged over seventy-five; and for connected purposes.,BBC Licence Fee Non-Payment (Decriminalisation for Over-75s) Bill,Commons,1,39
3805,"A Bill to require specified organisations and public bodies to inform children and young people of local, national and online support services available to them following a bereavement; and for connected purposes.",Bereavement Support (Children and Young People) Bill,Commons,1,39
3929,"A Bill to make provision about border security; to make provision about immigration and asylum; to make provision about sharing customs data and trailer registration data; to make provision about articles for use in serious crime; to make provision about serious crime prevention orders; to make provision about fees paid in connection with the recognition, comparability or assessment of qualifications; and for connected purposes.","Border Security, Asylum and Immigration Bill",Commons,1,39
3903,"A Bill to require the Secretary of State to review the current arrangements for breast cancer screening, including the potential merits of reducing the minimum age at which women are invited for regular breast cancer screening and of increasing the use of automated breast ultrasound; and for connected purposes.",Breast Cancer Screening (Review) Bill,Commons,1,39
3863,A Bill to make provision for the privatisation of the British Broadcasting Corporation; and for connected purposes.,British Broadcasting Corporation (Privatisation) Bill,Commons,1,39
3835,A Bill to set minimum standards for the building of new homes in relation to quality and energy efficiency; to place requirements on developers of new homes; and for connected purposes.,Building Regulations (Minimum Standards) Bill,Commons,1,39
3905,A Bill to require the installation of swift bricks on new buildings; and for connected purposes.,Building Regulations (Swift Bricks) Bill,Commons,1,39
3807,"A Bill to provide for a statutory definition of bullying at work; to make provision relating to bullying at work, including to enable claims relating to workplace bullying to be considered by an employment tribunal; to provide for a Respect at Work Code to set minimum standards for positive and respectful work environments; to give powers to the Equalities and Human Rights Commission to investigate workplaces and organisations where there is evidence of a culture of, or multiple incidents of, bullying and to take enforcement action; and for connected purposes.",Bullying and Respect at Work Bill,Commons,1,39
3842,"A Bill to place a duty on the Government to ensure that every town with a population of more than 10,000 people has a regular bus service operating seven days a week, and that local health services, including hospitals and GP surgeries, are served by those buses; and for connected purposes.",Bus Services Bill,Commons,1,39
3861,A Bill to exempt motor homes from caravan site licensing requirements; and for connected purposes.,Caravan Site Licensing (Exemptions of Motor Homes) Bill,Commons,1,39
